# 理科年表2021 星座(p106),,,,,
星座名,略符,学名,赤経(hhmm),赤緯(±dd),20時正中
アンドロメダ,And,Andromeda (e),0040,+38,11下
いっかくじゅう(一角獣),Mon,Monoceros (tis),0700,-03,3上
いて(射手),Sgr,Sagittarius (I),1900,-25,9上
いるか(海豚),Del,Delphinus (I),2035,+12,9下
インディアン,Ind,Indus (I),2120,-58,10上
うお(魚),Psc,Pisces (ium),0020,+10,11下
うさぎ(兎),Lep,Lepus (oris),0525,-20,2上
うしかい(牛飼),Boo,Bootes (is),1435,+30,6下
うみへび(海蛇),Hya,Hydra (e),1030,-20,4下
エリダヌス,Eri,Eridanus (I),0350,-30,1中
おうし(牡牛),Tau,Taurus (I),0430,+18,1下
おおいぬ(大犬),Cma,Canis Major (is),0640,-24,2下
おおかみ(狼),Lup,Lupus (I),1500,-40,7上
おおぐま(大隈),Uma,Ursa ‘e) Major(is),1100,+58,5上
おとめ(乙女),Vir,Virgo (inis),1320,-02,6上
おひつじ(牡羊),Ari,Aries (tis),0230,+20,12下
オリオン,Ori,Orion (is),0520,+03,2上
がか(画架),Pic,Pictor (is),0530,-52,2上
カシオペア,Cas,Cassiopea (e),0100,+60,12上
かじき(旗魚),Dor,Dorado (us),0500,-60,1下
かに(蟹),Cnc,Cancer (ri),0830,+20,3下
かみのけ(髪),Com,Coma (e) Berenices,1240,+23,5下
カメレオン,Cha,Chamaeleon (tis),1040,-78,4下
からす(烏),Crv,Corvus (I),1220,-18,5下
かんむり(冠),CrB,Corona (e) Borealis,1540,+30,7中
きょしちょう(巨嘴鳥),Tuc,Tucana (e),2345,-68,11中
ぎょしゃ(馭者),Aur,Auriga (e),0600,+42,2中
きりん(麒麟),Cam,Camelopardalis,0540,+70,2中
くじゃく(孔雀),Pav,Pavo (nis),1910,-65,9下
くじら(鯨),Cet,Cetus (I),0145,-12,12中
ケフェウス,Cep,Cepheus (I),2200,+70,2中
けんびきょう(顕微鏡),Mic,Microscopium (I),2050,-37,9下
こいぬ(小犬),Cmi,Canis Minor (is),0730,+06,3中
こうま(小馬),Equ,Equuleus (I),2110,+06,10上
こきつね(小狐),Vul,Vulpecula (e),2010,+25,9下
こぐま(小熊),Umi,Ursa (e) Minor (is),1540,+78,7下
こじし(小獅子),Lmi,Leo (nis) minor (is),1020,+33,4下
コップ,Crt,Crater (is),1120,-15,5上
こと(琴),Lyr,Lyra (e),1845,+36,8下
コンパス,Cir,Circinus (I),1450,-63,6下
さいだん(祭壇),Ara,Ara (e),1710,-55,8上
さそり(蠍),Sco,Scorpius (I),1620,-26,7下
さんかく(三角),Tri,Triangulum (I),0200,+32,12中
しし(獅子),Leo,Leo (nis),1030,+15,4下
じょうぎ(定規),Nor,Norma (e),1600,-50,7中
たて(楯),Sct,Scutum (I),1830,-10,8下
ちょうこくぐ(彫刻具),Cae,Caelum (I),0450,-38,1下
ちょうこくしつ(彫刻室),Scl,Sculptor (is),0030,-35,11下
つる(鶴),Gru,Grus (is),2220,-47,10下
テーブルさん(テーブル山),Men,Mensa (e),0540,-77,7上
てんびん(天秤),Lib,Libra (e),1510,-14,7上
とかげ(蜥蜴),Lac,Lacerta (e),2225,+43,10下
とけい(時計),Hor,HoroLogium (I),0320,-52,1上
とびうお(飛魚),Vol,Volans (tis),0740,-69,3中
とも(船尾),Pup,Puppis,0740,-32,3中
はえ(蝿),Mus,Musca (e),1230,-70,5下
はくちょう(白鳥),Cyg,Cygnus (I),2030,+43,9下
はちぶんぎ(八分儀),Oct,Octans (tis),2100,-87,10上
はと(鳩),Col,Columba (e),0540,-34,2上
ふうちょう(風鳥),Aps,Apus (odis),1600,-76,7中
ふたご(双子),Gem,Gemini (orum),0700,+22,3上
ペガサス,Peg,Pegasus (I),2230,+17,10下
へび(蛇),Ser,Serpens (tis),1535,+08,7中
へび(蛇),Ser,Serpens (tis),1800,-05,8中
へびつかい(蛇遣),Oph,Ophiuchus (I),1710,-04,8上
ヘルクルス,Her,Hercules (is),1710,+27,8上
ペルセウス,Per,Perseus (I),0320,+42,1上
ほ(帆),Vel,Vela (orum),0930,-45,4上
ぼうえんきょう(望遠鏡),Tel,Telescopium (I),1900,-52,9上
ほうおう(鳳凰),Phe,Phoenix (cis),0100,-48,12上
ポンプ,Ant,Antlia (e),1000,-35,4中
みずがめ(水甕),Aqr,Aquarius (I),2220,-13,10下
みずへび(水蛇),Hyi,Hydrus (I),0240,-72,12下
みなみじゅうじ(南十字),Cru,Crux (cis),1220,-60,5下
みなみのうお(南魚),PsA,Piscis (e) Australis,2220,-32,10中
みなみのかんむり(南冠),CrA,Corona (e) Australis,1830,-41,8下
みなみのさんかく(南三角),TrA,Triangulum (I) Australe (is),1540,-65,7中
や(矢),Sge,Sagitta (e),1940,+18,9中
やぎ(山羊),Cap,Capricornus (I),2050,-20,9下
やまねこ(山猫),Lyn,Lynx (cis),0750,+45,3中
らしんばん(羅針盤),Pyx,Pyxis (dis),0850,-28,3下
りゅう(竜),Dra,Draco (nis),1700,+60,8上
りゅうこつ(竜骨),Car,Carina ‘e),0840,-62,3下
りょうけん(猟犬),Cvn,Canes (um) Venaticj (orum),1300,+40,6上
レチクル,Ret,Reticulum (I),0350,-63,1中
ろ(炉),For,Fornax (cis),0225,-33,12下
ろくぶんぎ(六分儀),Sex,Sextans (tis),1010,-01,4中
わし(鷲),Aql,Aquila (e),1930,+02,9上
